Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	WT1	KO1	WT2	KO2	WT3	KO3	WT4	KO4	WT5	KO5	WT6	MT	MT	MT	MT	MT
862	a	sp|P84089|ERH_MOUSE	P84089	ERH_MOUSE	Erh	104	47.10	Mus musculus (Mouse) OX=10090	Enhancer of rudimentary homolog 	1:Experimental evidence at protein level	1.0000	0.9973	3	3	3	10	10	10	2248254	2248254	2248254	11C(57.0215), 11K(304.2072), 16C(57.0215), 17K(304.2072), 24K(304.2072), 8K(304.2072), N-term(42.0106)			140414.2461	112283.0524	189543.7886	134734.6819	122700.4237	122207.0234	138368.6416	125908.8508	149445.6479	109306.1044	115474.8339	3953.4374	284.9802	0.0000	0.0000	0.0000
863	a	sp|P84091|AP2M1_MOUSE	P84091	AP2M1_MOUSE	Ap2m1	435	18.40	Mus musculus (Mouse) OX=10090	AP-2 complex subunit mu 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	24	24	24	     0	     0	     0	11K(304.2072), 18K(304.2072), 3K(304.2072), 7K(304.2072), 8K(304.2072), N-term(304.2072)			513654.9843	355652.1155	659767.8901	504069.0258	489653.8616	348438.3963	512876.1981	394664.4013	465051.9077	299489.0346	395017.6736	3087.1190	1793.2453	0.0000	0.0000	0.0000
864	a	sp|P84096|RHOG_MOUSE	P84096	RHOG_MOUSE	Rhog	191	39.30	Mus musculus (Mouse) OX=10090	Rho-related GTP-binding protein RhoG 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	9	9	9	1905457	1905457	1905457	13K(304.2072), 19K(304.2072), 2K(304.2072), 4C(57.0215), 9K(304.2072)			90573.0376	90306.9072	114954.4697	104979.0938	78349.1482	131600.1316	85375.4658	87776.7939	91347.3954	86785.9750	68175.3462	0.0000	0.0000	0.0000	0.0000	0.0000
865	a	sp|P84099|RL19_MOUSE	P84099	RL19_MOUSE	Rpl19	196	41.80	Mus musculus (Mouse) OX=10090	60S ribosomal protein L19 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	41	41	41	4875788	4875788	4875788	10K(304.2072), 13K(304.2072), 1C(57.0215), 1K(304.2072), 2K(304.2072), 3K(304.2072), 4K(304.2072), 5K(304.2072), 8K(304.2072)			920252.5387	642885.7383	1130517.5569	901851.5060	760673.8846	574880.7114	894116.3759	595061.9702	894155.9052	605821.1035	686231.5577	6950.3978	5600.4559	0.0000	0.0000	0.0000
866	a	sp|P84104|SRSF3_MOUSE	P84104	SRSF3_MOUSE	Srsf3	164	40.20	Mus musculus (Mouse) OX=10090	Serine/arginine-rich splicing factor 3 	1:Experimental evidence at protein level	1.0000	0.9990	7	5	7	18	12	18	9422278	5268876	9422278	10K(304.2072), 20K(304.2072), 3C(57.0215), 7C(57.0215), 8K(304.2072), N-term(304.2072)			165338.5730	131344.0471	195073.5428	173418.7773	142975.0199	185753.9675	161871.5238	134367.0671	163512.9933	134819.1594	127668.8947	3789.7957	1517.3449	0.0000	0.0000	0.0000
867	a	sp|P85094|ISC2A_MOUSE	P85094	ISC2A_MOUSE	Isoc2a	206	65.00	Mus musculus (Mouse) OX=10090	Isochorismatase domain-containing protein 2A 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	19	19	19	920541	920541	920541	11C(57.0215), 12K(304.2072), 15K(304.2072), 16C(57.0215), 16K(304.2072), 1C(57.0215), 36C(57.0215), 4K(304.2072), 6C(57.0215), 8K(304.2072), 9C(57.0215), N-term(304.2072)			174032.7451	94007.6652	216490.9563	149401.9798	156497.1577	90161.5715	175856.1479	122579.3434	172421.8363	72881.8975	152344.9819	1513.9174	3043.5822	0.0000	0.0000	0.0000
868	a	sp|P97298|PEDF_MOUSE	P97298	PEDF_MOUSE	Serpinf1	417	30.90	Mus musculus (Mouse) OX=10090	Pigment epithelium-derived factor 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	12	12	12	555361	555361	555361	11K(304.2072), 15K(304.2072), 17K(304.2072), 1K(304.2072), 2K(304.2072), 8K(304.2072), N-term(304.2072)			81934.5938	61899.0543	105352.0254	72496.8384	74769.5479	76257.9958	86380.4811	65304.1034	82853.0581	67655.4229	67523.5339	1583.3336	1063.6098	0.0000	0.0000	0.0000
869	a	sp|P97310|MCM2_MOUSE	P97310	MCM2_MOUSE	Mcm2	904	6.40	Mus musculus (Mouse) OX=10090	DNA replication licensing factor MCM2 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	6	6	6	     0	     0	     0	13K(304.2072), 18K(304.2072), 1K(304.2072), 7K(304.2072)			35978.6418	59614.2451	47863.2983	59456.1954	30075.1483	38555.6750	31469.3869	65822.0933	37203.3667	72285.8644	25857.2783	581.2826	0.0000	0.0000	0.0000	0.0000
870	a	sp|P97315|CSRP1_MOUSE	P97315	CSRP1_MOUSE	Csrp1	193	21.20	Mus musculus (Mouse) OX=10090	Cysteine and glycine-rich protein 1 	1:Experimental evidence at protein level	1.0000	0.9989	5	5	5	6	6	6	675094	675094	675094	13K(304.2072), 2K(304.2072), 3K(304.2072), 4K(304.2072), 7K(304.2072), 9K(304.2072)			48171.0764	57948.8701	67369.1245	57219.7881	42917.2100	71625.4106	47590.0938	44728.8533	65382.8770	48050.0913	39500.7969	0.0000	0.0000	0.0000	0.0000	0.0000
871	a	sp|P97328|KHK_MOUSE	P97328	KHK_MOUSE	Khk	298	74.20	Mus musculus (Mouse) OX=10090	Ketohexokinase 	1:Experimental evidence at protein level	1.0000	0.9990	18	18	18	95	95	95	1583921	1583921	1583921	10C(57.0215), 13K(304.2072), 15K(304.2072), 19K(304.2072), 1C(57.0215), 1C(57.0215), 21K(304.2072), 22K(304.2072), 2K(304.2072), 3C(57.0215), 3K(304.2072), 4K(304.2072), 7K(304.2072), 8C(57.0215), 8K(304.2072), 9C(57.0215), 9K(304.2072), N-term(304.2072), N-term(42.0106)			1410153.8125	649560.5866	1686422.1699	1272918.9457	1046269.9533	386734.0266	1352020.7371	881244.7735	1339076.2015	414839.6141	1160148.6416	4705.6560	11115.5606	0.0000	0.0000	0.0000
872	a	sp|P97333|NRP1_MOUSE	P97333	NRP1_MOUSE	Nrp1	923	4.70	Mus musculus (Mouse) OX=10090	Neuropilin-1 	1:Experimental evidence at protein level	1.0000	0.9989	4	4	4	4	4	4	     0	     0	     0	2C(57.0215), 3K(304.2072), 5K(304.2072)			21218.5956	18690.2039	29362.1392	22705.7299	18383.3708	18687.2769	21514.9204	22916.9108	22647.9224	18550.9348	15995.6775	1190.3579	0.0000	0.0000	0.0000	0.0000
873	a	sp|P97351|RS3A_MOUSE	P97351	RS3A_MOUSE	Rps3a	264	47.00	Mus musculus (Mouse) OX=10090	40S ribosomal protein S3a 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	36	36	36	1011726	1011726	1011726	12K(304.2072), 13K(304.2072), 14C(57.0215), 1K(304.2072), 21K(304.2072), 25K(304.2072), 27C(57.0215), 2K(304.2072), 3K(304.2072), 4K(304.2072), 5K(304.2072), 8K(304.2072), N-term(304.2072), N-term(42.0106)			598413.5289	470000.0227	759021.8678	618488.7080	533302.1696	423752.8308	584615.6105	478020.7178	588417.8746	420111.2809	482566.5507	6282.7233	6101.3461	0.0000	0.0000	0.0000
874	a	sp|P97360|ETV6_MOUSE	P97360	ETV6_MOUSE	Etv6	485	10.30	Mus musculus (Mouse) OX=10090	Transcription factor ETV6 	1:Experimental evidence at protein level	1.0000	0.9988	4	4	4	6	6	6	     0	     0	     0	17K(304.2072), 3K(304.2072)			19635.5012	14552.8780	27964.2886	21593.8151	17670.4922	15966.3412	20163.4089	15356.6674	19910.4922	13079.1786	15126.3427	0.0000	0.0000	0.0000	0.0000	0.0000
875	a	sp|P97363|SPTC2_MOUSE	P97363	SPTC2_MOUSE	Sptlc2	560	6.60	Mus musculus (Mouse) OX=10090	Serine palmitoyltransferase 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0	14K(304.2072), 4K(304.2072), 8K(304.2072)			24312.4575	23287.0312	29700.3970	26634.4238	23128.2329	20366.6836	22264.7471	23282.7808	24630.3887	18716.6484	19355.0752	0.0000	0.0000	0.0000	0.0000	0.0000
876	a	sp|P97364|SPS2_MOUSE	P97364	SPS2_MOUSE	Sephs2	452	16.20	Mus musculus (Mouse) OX=10090	Selenide, water dikinase 2 	1:Experimental evidence at protein level	1.0000	0.9990	5	4	5	15	12	15	     0	     0	     0	17C(57.0215), 2K(304.2072), 9K(304.2072), N-term(304.2072)			115790.0595	72088.3336	150138.5772	101342.4978	99810.5197	75228.2330	124057.0886	81513.2873	140921.9693	60254.4420	106721.4363	2656.6709	788.4546	0.0000	0.0000	0.0000
877	a	sp|P97370|AT1B3_MOUSE	P97370	AT1B3_MOUSE	Atp1b3	278	8.30	Mus musculus (Mouse) OX=10090	Sodium/potassium-transporting ATPase subunit beta-3 	1:Experimental evidence at protein level	1.0000	0.9985	3	3	3	5	5	5	     0	     0	     0	3K(304.2072), 4K(304.2072), 5K(304.2072)			48698.3374	40756.5015	59934.3330	49342.4429	42408.7251	38716.8760	41555.7896	33760.1064	56852.0806	29868.8325	29881.5571	479.7110	378.1756	0.0000	0.0000	0.0000
878	a	sp|P97371|PSME1_MOUSE	P97371	PSME1_MOUSE	Psme1	249	26.10	Mus musculus (Mouse) OX=10090	Proteasome activator complex subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	12	12	12	     0	     0	     0	2K(304.2072), 4K(304.2072), 6K(304.2072), 8K(304.2072), 9K(304.2072)			84789.3953	90882.1653	116902.4730	95134.8467	72443.4469	87135.4603	78895.6287	88062.3434	89299.4213	75432.6179	64930.6479	1001.0840	271.7805	0.0000	0.0000	0.0000
879	a	sp|P97372|PSME2_MOUSE	P97372	PSME2_MOUSE	Psme2	239	25.10	Mus musculus (Mouse) OX=10090	Proteasome activator complex subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	9	9	9	     0	     0	     0	16K(304.2072), 1K(304.2072), 21K(304.2072), 25K(304.2072), 6K(304.2072), 9K(304.2072)			109177.2311	111653.3506	135824.2986	119242.8425	97501.1180	115837.9437	96850.9871	110479.8604	115175.9069	94027.0383	81355.2385	1642.4569	0.0000	0.0000	0.0000	0.0000
880	a	sp|P97379|G3BP2_MOUSE	P97379	G3BP2_MOUSE	G3bp2	482	17.80	Mus musculus (Mouse) OX=10090	Ras GTPase-activating protein-binding protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	6	4	4	13	8	8	553339	553339	553339	11K(304.2072), 4K(304.2072), 8K(304.2072), 9K(304.2072)			73076.3569	48187.9009	90181.0354	79807.2627	77573.9619	50061.8903	84360.1823	49946.9377	103868.0526	46200.5920	76583.2883	0.0000	574.7121	0.0000	0.0000	0.0000
881	a	sp|P97384|ANX11_MOUSE	P97384	ANX11_MOUSE	Anxa11	503	25.60	Mus musculus (Mouse) OX=10090	Annexin A11 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	27	27	27	1760749	1760749	1760749	16C(57.0215), 1K(304.2072), 2K(304.2072), 4K(304.2072), 5K(304.2072), 7C(57.0215), N-term(304.2072)			158326.5150	111020.2401	200680.4436	137701.9559	141880.1021	135880.1688	147885.9734	105065.4911	161377.5699	93609.2856	122549.2273	271.4441	1228.2388	0.0000	0.0000	0.0000
882	a	sp|P97390|VPS45_MOUSE	P97390	VPS45_MOUSE	Vps45	570	9.50	Mus musculus (Mouse) OX=10090	Vacuolar protein sorting-associated protein 45 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	1307969	1307969	1307969	12K(304.2072), 1K(304.2072), 2K(304.2072)			53496.9780	36725.5293	63610.2153	47720.1169	44310.4580	37736.3149	53088.3447	35884.7805	56255.0938	35933.4475	42381.8848	683.9738	560.6552	0.0000	0.0000	0.0000
883	a	sp|P97393|RHG05_MOUSE	P97393	RHG05_MOUSE	Arhgap5	1501	10.30	Mus musculus (Mouse) OX=10090	Rho GTPase-activating protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	10	10	10	349174	349174	349174	11K(304.2072), 12C(57.0215), 12K(304.2072), 13K(304.2072), 14K(304.2072), 15K(304.2072), 26K(304.2072), 2K(304.2072), 4K(304.2072), 5K(304.2072), 6K(304.2072), 7K(304.2072), 9K(304.2072), N-term(304.2072)			88174.4171	67977.9386	105174.7101	87409.4359	73969.2621	64803.6154	87701.1946	63048.2857	92029.1793	55444.4753	67854.6855	1321.1685	1380.5519	0.0000	0.0000	0.0000
884	a	sp|P97429|ANXA4_MOUSE	P97429	ANXA4_MOUSE	Anxa4	319	69.00	Mus musculus (Mouse) OX=10090	Annexin A4 	1:Experimental evidence at protein level	1.0000	0.9990	15	15	15	37	37	37	10720076	10720076	10720076	11C(57.0215), 11K(304.2072), 12K(304.2072), 13C(57.0215), 1K(304.2072), 22K(304.2072), 24K(304.2072), 27K(304.2072), 28C(57.0215), 2K(304.2072), 34K(304.2072), 3K(304.2072), 4K(304.2072), 6K(304.2072), 7C(57.0215), 7K(304.2072), 9K(304.2072), N-term(42.0106)			540933.8149	512066.3259	699589.3633	562577.5732	490976.5630	680531.0532	532658.5554	468526.7053	587946.1821	464078.4062	431357.0977	5061.8463	3068.5638	0.0000	0.0000	0.0000
885	a	sp|P97433|ARG28_MOUSE	P97433	ARG28_MOUSE	Arhgef28	1693	2.50	Mus musculus (Mouse) OX=10090	Rho guanine nucleotide exchange factor 28 	1:Experimental evidence at protein level	1.0000	0.9990	4	3	4	5	4	5	     0	     0	     0	1K(304.2072), 3K(304.2072)			31398.9744	24911.4436	40622.3982	32098.1978	26870.5886	27264.1281	29282.3026	25150.4878	28848.9734	18691.7207	21546.6699	427.1433	0.0000	0.0000	0.0000	0.0000
886	a	sp|P97434|MPRIP_MOUSE	P97434	MPRIP_MOUSE	Mprip	1024	21.00	Mus musculus (Mouse) OX=10090	Myosin phosphatase Rho-interacting protein 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	16	16	16	174524	174524	174524	10K(304.2072), 11K(304.2072), 12K(304.2072), 17K(304.2072), 18K(304.2072), 19K(304.2072), 2K(304.2072), 3C(57.0215), 4K(304.2072), 8C(57.0215), 9K(304.2072), N-term(304.2072), N-term(42.0106)			124990.6772	114756.8304	172337.5551	124851.8948	99291.0235	138932.0561	117931.8435	100588.0132	138582.1543	99813.2790	98098.9933	1290.5953	924.7846	0.0000	0.0000	0.0000
887	a	sp|P97447|FHL1_MOUSE	P97447	FHL1_MOUSE	Fhl1	280	32.90	Mus musculus (Mouse) OX=10090	Four and a half LIM domains protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	14	14	14	1379286	1379286	1379286	10C(57.0215), 11K(304.2072), 13C(57.0215), 13K(304.2072), 15K(304.2072), 16K(304.2072), 19K(304.2072), 1C(57.0215), 1K(304.2072), 22C(57.0215), 24K(304.2072), 25C(57.0215), 3K(304.2072), 4C(57.0215), 6C(57.0215), 6K(304.2072), 7K(304.2072), 8K(304.2072), 9C(57.0215), N-term(42.0106)			141906.0963	125027.9111	193837.8223	195614.9530	139616.8000	123641.6199	158780.1302	158629.2253	149913.5648	101118.6379	136975.1059	1529.7621	2407.9264	0.0000	0.0000	0.0000
888	a	sp|P97449|AMPN_MOUSE	P97449	AMPN_MOUSE	Anpep	966	26.40	Mus musculus (Mouse) OX=10090	Aminopeptidase N 	1:Experimental evidence at protein level	1.0000	0.9990	18	18	18	109	109	109	3115878	3115878	3115878	10K(304.2072), 12K(304.2072), 14K(304.2072), 15K(304.2072), 16K(304.2072), 1K(304.2072), 21K(304.2072), 2K(304.2072), 37K(304.2072), 3K(304.2072), 5C(57.0215), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			1712894.6478	1029678.4921	1994170.5170	1721143.2515	1313561.0530	762355.3573	1715043.6519	1271229.6893	1434884.6073	721733.0360	1298782.0298	7488.0762	8548.5690	0.0000	0.0000	0.0000
889	a	sp|P97461|RS5_MOUSE	P97461	RS5_MOUSE	Rps5	204	26.00	Mus musculus (Mouse) OX=10090	40S ribosomal protein S5 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	19	19	19	4012393	4012393	4012393	1K(304.2072), 4C(57.0215), 4K(304.2072), 5K(304.2072), 9C(57.0215)			162269.6348	125083.8723	204034.0520	179301.5754	124048.1154	123060.9235	152317.0417	137526.3408	146071.3989	111201.1992	122363.6005	2333.2263	221.5557	0.0000	0.0000	0.0000
890	a	sp|P97471|SMAD4_MOUSE	P97471	SMAD4_MOUSE	Smad4	551	4.20	Mus musculus (Mouse) OX=10090	Mothers against decapentaplegic homolog 4 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	463565	463565	463565	1K(304.2072), 5K(304.2072)			11505.5391	10525.5288	15313.5283	13760.9995	10424.6133	13357.4741	10658.0007	11442.7476	11860.3936	10399.8208	8440.9199	0.0000	0.0000	0.0000	0.0000	0.0000
891	a	sp|P97478|COQ7_MOUSE	P97478	COQ7_MOUSE	Coq7	217	24.90	Mus musculus (Mouse) OX=10090	5-demethoxyubiquinone hydroxylase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0	18K(304.2072), 9K(304.2072), N-term(304.2072)			45396.7151	25499.6558	60250.4180	41176.5652	40575.3188	22943.0110	49003.1184	29613.3066	53437.9772	20051.2274	49438.6621	0.0000	355.8428	0.0000	0.0000	0.0000
892	a	sp|P97479|MYO7A_MOUSE	P97479	MYO7A_MOUSE	Myo7a	2215	5.50	Mus musculus (Mouse) OX=10090	Unconventional myosin-VIIa 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	9	9	9	310779	310779	310779	10K(304.2072), 11K(304.2072), 14C(57.0215), 15K(304.2072), 1K(304.2072), 2K(304.2072), 3K(304.2072), 5K(304.2072), 7K(304.2072)			63234.6415	53816.0795	83040.0359	77128.8309	66987.1118	62953.3188	65809.9651	66671.9921	61161.6541	59230.2570	56880.9831	2029.3023	0.0000	0.0000	0.0000	0.0000
893	a	sp|P97493|THIOM_MOUSE	P97493	THIOM_MOUSE	Txn2	166	24.10	Mus musculus (Mouse) OX=10090	Thioredoxin, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	5	5	5	     0	     0	     0	17C(57.0215), 20C(57.0215), 21K(304.2072), N-term(304.2072)			34784.1202	24016.1864	53469.0913	45264.4756	38807.7677	14031.3740	47064.8047	32504.4996	44633.2640	22477.6091	50094.4807	0.0000	0.0000	0.0000	0.0000	0.0000
894	a	sp|P97494|GSH1_MOUSE	P97494	GSH1_MOUSE	Gclc	637	36.30	Mus musculus (Mouse) OX=10090	Glutamate--cysteine ligase catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9990	14	14	14	37	37	37	1454056	1454056	1454056	11K(304.2072), 14K(304.2072), 15C(57.0215), 18K(304.2072), 1K(304.2072), 22K(304.2072), 2K(304.2072), 33K(304.2072), 3C(57.0215), 3K(304.2072), 6K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			403974.5631	234423.1066	528930.5538	445331.2362	254124.3257	199818.4924	435986.1904	309699.3632	434627.8391	189547.2910	360077.8180	3703.2444	2780.3776	0.0000	0.0000	0.0000
895	a	sp|P97496|SMRC1_MOUSE	P97496	SMRC1_MOUSE	Smarcc1	1104	6.60	Mus musculus (Mouse) OX=10090	SWI/SNF complex subunit SMARCC1 	1:Experimental evidence at protein level	1.0000	0.9987	4	2	2	4	2	2	     0	     0	     0	16K(304.2072), 18K(304.2072), 20K(304.2072), 4K(304.2072)			13547.4668	13760.8433	21197.7795	16913.8826	11368.5344	12658.7036	13854.1429	14469.5056	16430.2551	11995.2910	13690.8986	421.2024	0.0000	0.0000	0.0000	0.0000
896	a	sp|P97742|CPT1A_MOUSE	P97742	CPT1A_MOUSE	Cpt1a	773	17.60	Mus musculus (Mouse) OX=10090	Carnitine O-palmitoyltransferase 1, liver isoform 	1:Experimental evidence at protein level	1.0000	0.9990	16	16	16	41	41	41	 76311	 76311	 76311	13K(304.2072), 1K(304.2072), 2C(57.0215), 2K(304.2072), 4K(304.2072), 5K(304.2072), 6C(57.0215), 7C(57.0215), 7K(304.2072), 8K(304.2072), 9C(57.0215), 9K(304.2072), N-term(304.2072)			701831.9526	338470.3732	861614.8509	557471.6761	635066.9595	253544.9371	671665.5305	379334.3922	660359.3423	215329.8906	519458.7176	2548.7653	1656.0945	0.0000	0.0000	0.0000
897	a	sp|P97770|THUM3_MOUSE	P97770	THUM3_MOUSE	Thumpd3	505	9.30	Mus musculus (Mouse) OX=10090	THUMP domain-containing protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0	11K(304.2072), 2C(57.0215), 4K(304.2072), 6C(57.0215)			9546.8608	6408.2745	10632.8832	8662.8514	7353.4757	8059.5963	9031.6869	7069.6317	8300.5817	5950.7149	6491.8068	0.0000	0.0000	0.0000	0.0000	0.0000
898	a	sp|P97798|NEO1_MOUSE	P97798	NEO1_MOUSE	Neo1	1493	2.00	Mus musculus (Mouse) OX=10090	Neogenin 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	3K(304.2072)			9724.0337	7638.9460	10785.4609	8291.9495	7224.9609	7165.8398	8822.0312	7510.5425	8705.8662	6032.4924	6580.0217	0.0000	0.0000	0.0000	0.0000	0.0000
899	a	sp|P97807|FUMH_MOUSE	P97807	FUMH_MOUSE	Fh	507	34.90	Mus musculus (Mouse) OX=10090	Fumarate hydratase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	17	17	17	60	60	60	3077783	3077783	3077783	10K(304.2072), 15K(304.2072), 23K(304.2072), 26K(304.2072), 29K(304.2072), 2K(304.2072), 3K(304.2072), 4K(304.2072), 5K(304.2072), 6K(304.2072), 9K(304.2072), N-term(304.2072), N-term(42.0106)			551899.6113	309434.5342	721454.3237	550025.3487	553818.6649	221808.0633	676061.9130	400407.7470	626480.7835	239852.8388	660075.9267	1750.3852	5162.4986	0.0000	0.0000	0.0000
900	a	sp|P97823|LYPA1_MOUSE	P97823	LYPA1_MOUSE	Lypla1	230	23.90	Mus musculus (Mouse) OX=10090	Acyl-protein thioesterase 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	8	8	8	     0	     0	     0	1K(304.2072), 27K(304.2072), N-term(304.2072), N-term(42.0106)			32318.0220	21299.7964	42047.3425	34780.0898	29869.5221	16934.9997	31925.6691	21478.6107	37149.5828	16327.9079	25261.5880	0.0000	0.0000	0.0000	0.0000	0.0000
901	a	sp|P97855|G3BP1_MOUSE	P97855	G3BP1_MOUSE	G3bp1	465	43.40	Mus musculus (Mouse) OX=10090	Ras GTPase-activating protein-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	10	8	10	20	15	20	1364384	1364384	1364384	10C(57.0215), 10K(304.2072), 11K(304.2072), 13K(304.2072), 16K(304.2072), 18K(304.2072), 1K(304.2072), 22K(304.2072), 23K(304.2072), 27K(304.2072), 29K(304.2072), 3K(304.2072), 4K(304.2072), 6K(304.2072), N-term(304.2072), N-term(42.0106)			466219.3706	330022.4962	627776.7332	501366.7738	420872.4247	290542.7814	490412.7938	434092.4169	488438.6726	319535.6933	428365.3488	2779.7323	330.9665	239.3991	0.0000	0.0000
902	a	sp|P97865|PEX7_MOUSE	P97865	PEX7_MOUSE	Pex7	318	7.50	Mus musculus (Mouse) OX=10090	Peroxisomal targeting signal 2 receptor 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0	5K(304.2072)			26138.5500	14302.7506	30994.1702	20346.8547	23016.5276	13407.1628	24307.6660	17947.9778	21638.3796	11464.8289	21266.1809	0.0000	0.0000	0.0000	0.0000	0.0000
903	a	sp|P97868|RBBP6_MOUSE	P97868	RBBP6_MOUSE	Rbbp6	1790	4.60	Mus musculus (Mouse) OX=10090	E3 ubiquitin-protein ligase RBBP6 	1:Experimental evidence at protein level	1.0000	0.9977	6	6	6	7	7	7	     0	     0	     0	11K(304.2072), 1K(304.2072), 2K(304.2072), 3K(304.2072), 5K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072)			45182.3434	42714.0179	65285.7852	51328.1340	42922.4358	44964.2390	47334.2028	40169.4537	52236.1183	32646.2635	39262.1641	688.1241	423.9578	0.0000	0.0000	0.0000
904	a	sp|P97927|LAMA4_MOUSE	P97927	LAMA4_MOUSE	Lama4	1816	6.70	Mus musculus (Mouse) OX=10090	Laminin subunit alpha-4 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	16	16	16	 85971	 85971	 85971	10K(304.2072), 12C(57.0215), 12K(304.2072), 1C(57.0215), 1K(304.2072), 2K(304.2072), 3C(57.0215), 4K(304.2072), 6K(304.2072), 8C(57.0215), 8K(304.2072)			79803.5415	88756.6768	99780.6407	103609.0164	78120.8420	87936.2096	84069.6556	76116.8975	92751.5665	71757.0115	71918.9246	1897.5713	0.0000	0.0000	0.0000	0.0000
905	a	sp|P98078|DAB2_MOUSE	P98078	DAB2_MOUSE	Dab2	766	32.10	Mus musculus (Mouse) OX=10090	Disabled homolog 2 	1:Experimental evidence at protein level	1.0000	0.9990	14	14	14	37	37	37	2023862	2023862	2023862	11K(304.2072), 13K(304.2072), 16K(304.2072), 1K(304.2072), 20K(304.2072), 21K(304.2072), 23K(304.2072), 24K(304.2072), 25K(304.2072), 26K(304.2072), 27K(304.2072), 28K(304.2072), 29K(304.2072), 2K(304.2072), 30K(304.2072), 31K(304.2072), 33K(304.2072), 3K(304.2072), 4K(304.2072), 5K(304.2072), 6K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072), N-term(42.0106)			456967.1204	279512.0593	561604.6293	449719.8721	491747.7234	205311.2126	491027.8765	381582.9219	420057.5341	227357.6413	389014.6235	2488.5788	3951.8115	0.0000	0.0000	0.0000
906	a	sp|P98086|C1QA_MOUSE	P98086	C1QA_MOUSE	C1qa	245	21.20	Mus musculus (Mouse) OX=10090	Complement C1q subcomponent subunit A 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	6	6	6	     0	     0	     0	11K(304.2072), 13K(304.2072), 9K(304.2072)			20699.3654	35711.1510	26959.4199	32572.8104	22108.7142	89437.9304	22451.6499	34782.1028	27026.2264	56808.4097	17135.5815	2068.1938	0.0000	0.0000	0.0000	0.0000
907	a	sp|P98192|GNPAT_MOUSE	P98192	GNPAT_MOUSE	Gnpat	678	12.10	Mus musculus (Mouse) OX=10090	Dihydroxyacetone phosphate acyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0	11K(304.2072), 16K(304.2072), 19K(304.2072), 20K(304.2072), 25K(304.2072), 5C(57.0215), 6K(304.2072)			39769.1553	27541.6652	47869.5466	41409.6194	27982.3132	22643.5068	39420.6218	29960.4155	38286.8596	22367.8116	34834.0580	0.0000	0.0000	0.0000	0.0000	0.0000
